algorithm,df
p35pf_double,3.53424e-15
p35pf_double,1.9792e-15
p35pf_double,1.32258e-13
p35pf_double,3.65818e-15
p35pf_double,5.08731e-14
p35pf_double,2.46554e-15
p35pf_double,5.20344e-15
p35pf_double,3.01086e-11
p35pf_double,6.02454e-14
p35pf_double,2.7241e-14
p35pf_double,1.0889e-13
p35pf_double,5.65118e-14
p35pf_double,4.8019e-15
p35pf_double,7.73213e-09
p35pf_double,4.54302e-14
p35pf_double,5.61052e-14
p35pf_double,2.79702e-12
p35pf_double,2.49991e-12
p35pf_double,2.9231e-15
p35pf_double,2.67552e-14
p35pf_double,8.48873e-13
p35pf_double,3.51269e-14
p35pf_double,2.5173e-12
p35pf_double,5.24604e-16
p35pf_double,3.49942e-15
p35pf_double,4.33437e-13
p35pf_double,1.14628e-16
p35pf_double,2.95988e-15
p35pf_double,1.70101e-15
p35pf_double,1.16021e-09
p35pf_double,2.72166e-14
p35pf_double,2.40543e-15
p35pf_double,2.05431e-13
p35pf_double,2.69793e-15
p35pf_double,2.29157e-14
p35pf_double,6.15408e-16
p35pf_double,8.41893e-12
p35pf_double,3.15312e-14
p35pf_double,2.14795e-13
p35pf_double,1.18501e-15
p35pf_double,2.79497e-11
p35pf_double,4.2292e-15
p35pf_double,9.0818e-14
p35pf_double,1.21838e-14
p35pf_double,1.87966e-15
p35pf_double,1.41143e-10
p35pf_double,3.57245e-15
p35pf_double,4.73976e-14
p35pf_double,2.4237e-14
p35pf_double,5.16969e-15
p35pf_double,6.74913e-13
p35pf_double,8.46042e-16
p35pf_double,1.85502e-13
p35pf_double,8.94597e-13
p35pf_double,3.5272e-16
p35pf_double,7.18175e-16
p35pf_double,1.14532e-14
p35pf_double,3.42405e-13
p35pf_double,5.68595e-14
p35pf_double,9.35423e-15
p35pf_double,3.40192e-14
p35pf_double,6.16015e-15
p35pf_double,2.37832e-14
p35pf_double,3.52169e-13
p35pf_double,5.43207e-13
p35pf_double,1.30785e-15
p35pf_double,2.05838e-12
p35pf_double,7.63778e-15
p35pf_double,3.27154e-14
p35pf_double,5.54496e-15
p35pf_double,2.8895e-14
p35pf_double,9.50857e-12
p35pf_double,4.31146e-15
p35pf_double,1.29166e-16
p35pf_double,2.5769e-14
p35pf_double,1.37275e-16
p35pf_double,2.1614e-15
p35pf_double,3.05166e-15
p35pf_double,4.97625e-09
p35pf_double,6.67632e-15
p35pf_double,1.61294e-15
p35pf_double,7.85273e-15
p35pf_double,3.18933e-15
p35pf_double,9.36988e-16
p35pf_double,1.00746e-14
p35pf_double,2.23201e-14
p35pf_double,3.83614e-14
p35pf_double,5.21534e-14
p35pf_double,2.13359e-13
p35pf_double,2.86423e-15
p35pf_double,4.53508e-13
p35pf_double,1.00931e-14
p35pf_double,2.23845e-15
p35pf_double,1.60556e-14
p35pf_double,1.16579e-14
p35pf_double,6.45428e-15
p35pf_double,2.48357e-08
p35pf_double,5.77773e-14
p35pf_double,8.0505e-12
p35pf_double,2.6379e-14
p35pf_double,6.5739e-12
p35pf_double,8.86278e-12
p35pf_double,5.41825e-15
p35pf_double,7.88193e-15
p35pf_double,2.56485e-13
p35pf_double,9.98397e-13
p35pf_double,2.37301e-15
p35pf_double,4.77205e-11
p35pf_double,7.21502e-14
p35pf_double,2.04028e-14
p35pf_double,1.60354e-12
p35pf_double,8.88454e-12
p35pf_double,3.48693e-14
p35pf_double,1.47918e-13
p35pf_double,2.0721e-14
p35pf_double,1.44247e-14
p35pf_double,4.068e-15
p35pf_double,1.15043e-14
p35pf_double,6.47545e-12
p35pf_double,2.2992e-12
p35pf_double,6.24482e-11
p35pf_double,2.33012e-15
p35pf_double,3.00667e-15
p35pf_double,6.39417e-12
p35pf_double,3.74775e-13
p35pf_double,1.18751e-12
p35pf_double,6.28388e-15
p35pf_double,1.05448e-12
p35pf_double,2.92423e-15
p35pf_double,1.33623e-14
p35pf_double,1.98921e-15
p35pf_double,2.23618e-15
p35pf_double,1.78356e-14
p35pf_double,1.45476e-15
p35pf_double,1.03699e-11
p35pf_double,8.16281e-14
p35pf_double,2.67792e-14
p35pf_double,6.25776e-15
p35pf_double,3.72604e-14
p35pf_double,2.83137e-12
p35pf_double,5.02391e-15
p35pf_double,2.32774e-14
p35pf_double,2.42186e-14
p35pf_double,3.02236e-14
p35pf_double,2.69928e-14
p35pf_double,7.63448e-12
p35pf_double,4.22248e-15
p35pf_double,1.92275e-13
p35pf_double,8.36553e-13
p35pf_double,3.38837e-15
p35pf_double,3.21421e-14
