f,algo
0.0011684398,real
0.0015227787,real
0.0011757609,real
0.0010791230,real
0.0009283093,real
0.0007321052,real
0.0008228862,real
0.0008082441,real
0.0007745673,real
0.0040046152,real
0.0037556994,real
0.0040836825,real
0.0027236858,real
0.0029375955,real
0.0062063115,real
0.0052755497,real
0.0050877378,p35p
0.0018635489,p35p
0.0018532855,p35p
0.0012330800,p35p
0.0010849931,p35p
0.0014735379,p35p
0.0006993807,p35p
0.0011773641,p35p
0.0342784503,p35p
0.0110859901,p35p
0.0087107350,p35p
0.0037065710,p35p
0.0013606400,p35p
0.0005644896,p35p
0.0013840993,p35p
0.0015732400,p35p
0.0033664110,p35p
0.0035438220,p35p
0.0034646468,p35p
0.0017667793,p35p
0.0010410069,p35p
0.0009515683,p35p
0.0008518662,p35p
0.0019837779,p35p
0.0038663875,p35p
0.0043927558,p35p
0.0017785089,p35p
0.4325368898,p35p
0.0010014193,p35p
0.0014940648,p35p
0.0046874633,p4p
0.0011407089,p4p
0.0019368593,p4p
0.0010204800,p4p
0.0014222207,p4p
0.0013665048,p4p
0.0008533324,p4p
0.0008738593,p4p
0.0038971778,p4p
0.0225854505,p4p
0.0029441434,p4p
0.0036845778,p4p
0.0020585544,p4p
0.0006436648,p4p
0.0024764234,p4p
0.0015923007,p4p
0.0153790438,p4p
0.0033781406,p4p
0.0034778427,p4p
0.0015145917,p4p
0.0011934924,p4p
0.0011025876,p4p
0.0009779600,p4p
0.0018371572,p4p
0.0036801792,p4p
0.0042080137,p4p
0.0016524151,p4p
0.4171871701,p4p
0.0018400896,p4p
0.0015527131,p4p
0.0042563985,real
0.0018855420,real
0.0027300772,real
0.0486766017,real
0.0036479227,real
0.0022652896,real
0.0015644427,real
0.0006803200,real
0.0085259929,real
0.0199360147,real
0.0040848523,real
0.0041215075,real
0.0026494358,real
0.0014060924,real
0.0018092993,real
0.0023752551,real
0.0033458841,real
0.0029778661,real
0.0029441434,real
0.0034705116,real
0.0029778661,real
0.0021303986,real
0.0027799282,real
0.0013899641,real
0.0032872358,real
0.0038561241,real
0.0011084524,real
0.4186636404,real
0.2728156450,real
0.0008445352,real
0.0018577815,p35p
3.4387594035,p35p
0.0015275416,p35p
0.0053638531,p35p
0.0003738840,p35p
0.0196427298,p35p
0.0029459730,p35p
0.0018708747,p35p
0.0165978303,p35p
0.0173106830,p35p
4.6204510176,p35p
0.0021472870,p35p
0.0060199686,p35p
0.0029372442,p35p
0.0023262276,p35p
0.0018534171,p35p
0.0016191941,p35p
0.0020585441,p35p
0.0034769756,p35p
0.0052692910,p35p
0.0022622163,p35p
0.0016701121,p4p
1.2684879812,p4p
0.0012453101,p4p
0.0049143195,p4p
0.0004829941,p4p
0.0807458476,p4p
0.0031423712,p4p
0.0021167362,p4p
0.0151473932,p4p
0.6208743648,p4p
0.0021676542,p4p
0.0057842908,p4p
0.0031423712,p4p
0.0022069339,p4p
0.0018185019,p4p
0.0014446179,p4p
0.0021516514,p4p
0.0032893062,p4p
0.0049506895,p4p
0.0021254650,p4p
0.0018432335,real
0.0232084483,real
0.0017675838,real
0.0049768759,real
0.0003971608,real
0.0044240514,real
0.0026681060,real
0.0020469057,real
0.0104280171,real
0.0051761837,real
0.0019887136,real
0.0059777794,real
0.0029677951,real
0.0023844197,real
0.0018534171,real
0.0015886432,real
0.0022825836,real
0.0031423712,real
0.0050350680,real
0.0022723999,real
0.0020613747,p35p
0.0021823748,p35p
4239.6443618340,p35p
0.0026824113,p35p
0.0024039653,p35p
0.0029229536,p35p
0.0048910270,p35p
0.0028281945,p35p
0.0018077119,p35p
0.0020030614,p35p
0.0046854727,p35p
0.0019986880,p4p
0.0021459290,p4p
8486.7031853634,p4p
0.0026911582,p4p
0.0024943509,p4p
0.0029973030,p4p
0.0050047380,p4p
0.0028835921,p4p
0.0017275312,p4p
0.0018135433,p4p
0.0043647496,p4p
0.0018426999,real
0.0020059771,real
0.0062132809,real
0.0024564473,real
0.0035979299,real
0.0037160143,real
0.0026415920,real
0.0015380130,real
0.0016560974,real
0.0038443035,real
0.0027267682,p35p
0.0022067595,p35p
0.0022009331,p35p
0.0022679370,p35p
0.0021732576,p35p
0.0031349287,p35p
0.0026818790,p35p
0.0023538568,p35p
0.0027620684,p35p
0.0024447457,p35p
0.0023661178,p35p
0.0023340842,p35p
0.0022472795,p35p
0.0023873792,p35p
0.0038186408,p35p
0.0035714390,p35p
0.0034460230,p35p
0.0031481924,p35p
0.0028858242,p35p
0.0027197546,p35p
0.0025481268,p35p
0.0027985265,p35p
0.0031718578,p35p
0.0034795645,p35p
0.0024529034,p35p
0.0024660283,p35p
0.0022618627,p35p
0.0030825054,p35p
0.0026453561,p35p
0.0027369645,p35p
0.0022402615,p35p
0.0021702123,p35p
