f,algo
0.0017438745,p4p
0.0017131261,p4p
0.0006501094,p4p
0.0007906736,p4p
0.0006896431,p4p
0.0007335694,p4p
0.0007716388,p4p
0.0007892094,p4p
0.0006720725,p4p
0.0007408904,p4p
0.0007321052,p4p
0.0007906736,p4p
0.0007833525,p4p
0.0007950662,p4p
0.0008668125,p4p
0.0012694703,p4p
0.0020762502,p4p
0.0016779850,p4p
0.0019166513,p4p
0.0024188754,p4p
0.0030689848,p4p
0.0017263040,p4p
0.0013558587,p4p
0.0016809134,p4p
0.0017936576,p4p
0.0010178631,p4p
0.0014499058,p4p
0.0015392434,p4p
0.0025214972,p4p
0.0024336176,p4p
0.0022753545,p4p
0.0027354069,p4p
0.0017603906,p4p
0.0022182143,p4p
0.0016014112,p4p
0.0047302844,p4p
0.0016995565,p4p
0.0009768557,p4p
0.0020469660,p4p
0.0004789083,p4p
0.0015626762,p4p
0.0004451199,p4p
0.0008260069,p4p
0.0024232681,p4p
0.0022885607,p4p
0.0013558587,p4p
0.0009021636,p4p
0.0007879286,p4p
0.0007893931,p4p
0.0007879286,p4p
0.0008684789,p4p
0.0008699435,p4p
0.0011699040,p4p
0.0015183861,p4p
0.0011728325,p4p
0.0010820514,p4p
0.0009297735,p4p
0.0007335694,p4p
0.0008228862,p4p
0.0008082441,p4p
0.0007731030,p4p
0.0040412204,p4p
0.0037527710,p4p
0.0040295068,p4p
0.0026973134,p4p
0.0029449212,p4p
0.0061257291,p4p
0.0051364498,p4p
0.0017838234,real
0.0011657828,real
0.0019181155,real
0.0018961523,real
0.0015564556,real
0.0011537977,real
0.0014788524,real
0.0016194166,real
0.0017350892,real
0.0017233755,real
0.0006632873,real
0.0008038515,real
0.0006911073,real
0.0007321052,real
0.0007701746,real
0.0007906736,real
0.0006750010,real
0.0007467473,real
0.0007233199,real
0.0007994588,real
0.0007877451,real
0.0008038515,real
0.0008755978,real
0.0012592209,real
0.0020689292,real
0.0016545576,real
0.0018902955,real
0.0023939839,real
0.0030455574,real
0.0017189829,real
0.0013558587,real
0.0016779850,real
0.0017936576,real
0.0010281150,real
0.0014674804,real
0.0015538889,real
0.0025332183,real
0.0024482691,real
0.0022665637,real
0.0026797318,real
0.0020269390,real
0.0011838290,real
0.0046760481,real
0.0016643933,real
0.0009065572,real
0.0019312934,real
0.0006429380,real
0.0015377788,real
0.0004392631,real
0.0008011095,real
0.0024276607,real
0.0022841681,real
0.0013631798,real
0.0009036281,real
0.0007864640,real
0.0007879286,real
0.0007923222,real
0.0008758017,real
0.0008801953,real
0.0011655114,real
0.0015125292,real
0.0011684398,real
0.0010761946,real
0.0009253809,real
0.0007379620,real
0.0008258146,real
0.0008141009,real
0.0007716388,real
0.0040221857,real
0.0037469142,real
0.0040719689,real
0.0027207555,real
0.0029346652,real
0.0062004510,real
0.0052901918,real
0.0050906702,p35p
0.0018811434,p35p
0.0019764469,p35p
0.0012330800,p35p
0.0005850165,p35p
0.0013928965,p35p
0.0007272386,p35p
0.0010923241,p35p
0.0079981584,p35p
0.0299707345,p35p
0.0031318179,p35p
0.0037857461,p35p
0.0017418538,p35p
0.0005512938,p35p
0.0013709034,p35p
0.0016670772,p35p
0.0053018040,p35p
0.0034793089,p35p
0.0034426537,p35p
0.0020365613,p35p
0.0011641683,p35p
0.0010336758,p35p
0.0009471696,p35p
0.0019002041,p35p
0.0037886785,p35p
0.0043297089,p35p
0.0016978675,p35p
0.4343447228,p35p
0.0011509724,p35p
