std0.0,std0.5,std1.0,std1.5
1.5367e-13,0.0065855,0.12442,-1
7.9418e-16,0.0024592,0.080432,-1
1.7201e-15,0.0079728,0.070684,0.0070362
5.3707e-14,0.010881,0.28324,0.14083
2.5916e-14,0.0031025,0.015635,0.17065
7.8591e-08,0.064866,0.0039437,0.12779
8.8486e-11,0.25149,0.039343,0.062853
2.4578e-15,0.047537,0.012759,0.025905
5.5834e-11,-1,-1,0.0076838
2.4846e-14,0.013062,0.041371,-1
1.2378e-14,-1,-1,-1
5.5819e-12,0.037369,0.0079187,0.038078
1.6046e-12,-1,0.015629,-1
4.9431e-15,0.096445,0.008562,0.031468
4.2169e-13,0.0067183,0.011323,0.028802
8.8642e-16,0.015964,0.0051131,0.078451
7.9141e-15,0.013826,0.12076,0.067408
1.1927e-12,0.0079094,0.031856,0.013018
8.7943e-14,0.00086316,0.0058068,0.064925
1.5474e-14,0.00072496,0.24221,0.0050877
3.3875e-14,0.057147,0.041842,0.0081062
1.92e-11,-1,0.0052507,0.094443
4.5096e-14,-1,0.054369,0.082981
4.9346e-14,0.010264,0.098439,-1
4.233e-16,0.0039808,-1,0.023634
1.7278e-07,0.047225,0.037139,-1
4.9785e-14,0.04043,-1,-1
1.697e-14,-1,-1,0.046194
1.5698e-09,0.022496,-1,-1
5.6771e-14,-1,-1,0.014715
4.1222e-12,-1,0.043848,0.0065787
5.8846e-14,0.012042,0.40936,0.00048952
8.4906e-14,-1,0.17462,0.075248
2.2577e-10,0.02637,-1,0.077077
2.8692e-13,0.052502,0.074749,0.066727
1.7495e-14,-1,0.29714,-1
1.9735e-13,0.13139,0.027787,0.062999
2.6751e-14,0.0069116,-1,0.0075274
6.0425e-09,-1,0.036098,0.25658
1.4312e-13,0.1128,0.053978,0.029656
5.9895e-14,0.014966,-1,-1
4.9383e-14,0.015634,0.0097474,0.010113
8.7927e-15,-1,-1,0.017219
3.0825e-14,-1,7.0664,0.10287
4.139e-15,0.014097,0.0073947,-1
7.1452e-12,0.17324,0.19835,0.020914
2.5219e-14,0.19413,0.65739,0.034953
2.1659e-15,0.020236,0.0086073,0.0081637
1.9665e-14,0.018123,0.021103,-1
8.0202e-11,-1,0.23176,0.0056916
2.2302e-15,0.0030941,0.02065,0.043239
7.4746e-13,0.087821,0.029815,0.017229
8.8692e-14,0.0025345,-1,-1
2.2336e-12,0.19295,0.0075997,-1
4.6572e-12,-1,-1,0.013557
1.481e-15,0.027314,0.015845,-1
1.4024e-14,0.015181,10.112,0.026314
2.0805e-14,0.01758,0.04783,0.05495
4.9945e-12,0.0029319,-1,0.50684
1.3551e-14,0.04411,0.25802,16.721
4.6167e-15,0.0051569,0.11522,-1
2.6859e-15,0.0050953,0.0085859,-1
4.0127e-08,0.22282,0.044505,-1
4.2826e-14,0.0016014,-1,0.017634
5.4214e-15,0.048486,0.017299,0.20273
1.372e-10,0.0067911,0.0048988,0.038485
2.3974e-10,0.0055333,0.089764,0.033767
1.1579e-13,0.049553,-1,-1
5.013e-14,-1,-1,-1
6.6949e-16,0.0042527,0.0044661,0.0089573
6.6276e-16,0.024645,-1,0.053496
