dF,dR,dC,dt,N
9.3088e-06,1.658e-06,8.8945e-05,0.000622,1
0.0020966,0.0011908,0.043139,0.000939,1
7.6767e-06,1.0451e-05,0.00012703,0.000672,1
8.0956e-07,7.3361e-07,2.5544e-05,0.000706,2
7.8313e-06,5.6245e-06,0.00026522,0.000951,1
4.2125e-06,1.4616e-06,5.4543e-05,0.000691,1
3.5935e-05,3.4926e-06,0.00053609,0.000953,2
4.2411e-06,1.0292e-05,0.00068271,0.000984,2
1.8231e-05,1.4908e-06,0.00024474,0.000901,1
7.8309e-06,8.8343e-07,0.00010552,0.000723,2
1.4243e-05,2.0041e-05,0.00023856,0.000678,1
5.3819e-06,4.6405e-06,8.285e-05,0.000666,1
2.0141e-05,7.909e-06,0.0003196,0.00064,1
6.1032e-06,1.4042e-06,6.9628e-05,0.000925,1
8.8173e-05,2.6907e-05,0.0019353,0.001242,1
9.8749e-06,1.7392e-06,9.993e-05,0.000674,2
3.6628e-06,1.0647e-05,3.4419e-05,0.000697,1
5.1899e-05,9.6844e-06,0.00057213,0.000668,1
4.4817e-06,3.5165e-06,0.0001057,0.000944,1
2.1919e-05,3.4632e-05,0.00086119,0.000974,1
1.0631e-05,1.0514e-05,0.00019701,0.000868,1
5.7556e-07,1.1577e-05,0.00035251,0.000911,1
6.2802e-06,7.2158e-06,0.00040395,0.001212,1
0.0019227,0.0013246,0.024282,0.000913,1
0.00017735,8.8644e-05,0.0020317,0.000647,1
6.1479e-05,1.5899e-05,0.001482,0.000932,1
4.3647e-05,2.6844e-05,0.00067832,0.000725,1
6.4056e-06,1.146e-06,6.385e-05,0.00097,1
0.41439,0.6664,14.132,0.001448,1
3.2166e-05,9.4158e-07,0.00041108,0.000675,1
0.0010634,0.00021795,0.010528,0.000703,1
8.5149e-05,2.2274e-05,0.00061322,0.001127,1
0.030024,0.0034997,0.23559,0.000889,1
0.0012834,0.00017796,0.018343,0.000998,1
0.026889,0.014309,0.39123,0.001124,1
0.00021112,9.5256e-05,0.0021923,0.000886,2
6.6331e-06,9.9362e-06,0.0007838,0.0007,1
0.00027917,0.00010602,0.0029822,0.001459,2
0.098952,0.014246,1.7184,0.001348,1
8.4062e-06,1.0069e-05,0.0010944,0.00114,1
3.232e-05,4.8119e-05,0.0015684,0.000656,1
0.00027819,0.00046627,0.0069726,0.000671,1
7.7163e-06,4.327e-05,0.0006666,0.001255,1
0.00010665,0.00021633,0.0015768,0.000677,1
0.00014779,3.1092e-05,0.0013788,0.001008,1
2.738e-06,1.287e-06,2.8523e-05,0.000668,1
1.6641e-05,1.8691e-06,0.00018267,0.000935,1
4.3366e-06,1.6387e-06,8.3973e-05,0.000652,1
0.019335,0.0089548,0.25826,0.001143,1
0.0053687,0.0019903,0.07891,0.001207,1
1.5943e-05,1.2752e-06,0.00020447,0.001372,2
0.00030287,1.9617e-05,0.0034638,0.000874,2
9.1253e-07,1.2874e-06,4.5253e-05,0.000714,1
2.5288e-05,4.779e-06,0.00052081,0.001238,1
0.00011888,3.8174e-05,0.002111,0.00067,1
0.00010638,6.5656e-06,0.00098009,0.000955,2
5.8384e-06,3.841e-07,5.904e-05,0.000674,1
0.00042126,1.674e-05,0.0043062,0.001377,1
0.00017692,0.0036523,0.12922,0.000677,1
3.2752e-06,5.0718e-07,3.7367e-05,0.000651,1
0.00016316,9.0293e-06,0.001424,0.001129,2
4.5698e-06,6.8952e-07,5.3814e-05,0.00069,1
4.4639e-05,1.7775e-05,0.00086568,0.000701,1
1.3294e-05,4.237e-06,0.00019267,0.000693,1
0.14287,0.021728,3.65,0.0012,3
2.9466e-06,5.5893e-06,0.00021785,0.001212,1
0.00070355,3.8932e-05,0.013727,0.000672,2
0.00032921,0.00049534,0.039509,0.000942,1
0.00067997,0.00078026,0.013552,0.001001,1
1.1961e-06,7.5678e-07,2.5728e-05,0.000881,1
3.8361e-05,6.0627e-06,0.00039135,0.001204,2
0.025896,0.0095053,0.28325,0.000649,1
1.9774e-06,1.5491e-07,1.6595e-05,0.000721,1
3.4557e-06,2.8775e-06,0.00012468,0.001122,1
2.9603e-05,2.353e-06,0.00039611,0.000887,2
0.0029801,8.5952e-05,0.036403,0.000649,2
0.00020617,0.00013866,0.0023662,0.000873,1
4.1473e-06,4.3991e-06,0.00010574,0.000781,1
0.00019143,5.3441e-05,0.0014077,0.001213,1
2.1599e-05,4.7587e-06,0.00027399,0.000945,1
0.00047989,0.0001416,0.0089336,0.000701,2
1.8682e-05,1.5805e-06,0.00025005,0.0007,1
4.5993e-05,5.6031e-05,0.001199,0.000776,1
6.5786e-05,0.00018821,0.0099961,0.000929,1
4.2624e-05,4.8438e-05,0.0014549,0.001411,2
0.00022802,1.6437e-05,0.0024679,0.000654,1
6.6259e-07,1.0419e-06,3.6945e-05,0.000694,1
5.9875e-05,6.9236e-05,0.0054506,0.001382,1
0.010417,0.0038384,0.16219,0.000944,1
3.2343e-06,2.6974e-07,3.4165e-05,0.000918,2
0.00022139,0.0002417,0.016605,0.000931,1
0.00025806,0.00016948,0.0071326,0.000948,1
7.9958e-06,1.3415e-06,9.2646e-05,0.000895,2
9.59e-05,4.0494e-05,0.0016829,0.000666,1
0.00046459,0.00010249,0.0071848,0.000679,1
1.8998e-05,7.6366e-06,0.00025002,0.000951,2
1.0272e-05,1.346e-06,0.00010079,0.000671,2
0.00013787,6.3431e-06,0.0015826,0.000941,2
2.5024e-05,1.1129e-06,0.00023522,0.000881,1
0.027412,0.011335,0.55496,0.001365,1
0.00015007,6.2159e-05,0.0021008,0.000732,1
0.0010442,0.0014454,0.064227,0.00091,1
6.9628e-06,0.00073089,0.036192,0.000667,1
0.0026063,0.0012676,0.054659,0.00112,1
3.0472e-06,3.8906e-07,3.1077e-05,0.000685,1
0.0062195,0.0010626,0.086115,0.000933,1
0.0062415,0.0041666,0.1423,0.000914,1
1.7047e-06,4.0181e-07,1.6016e-05,0.00065,1
1.6819e-05,8.0106e-06,0.000341,0.000984,1
0.00037806,4.4333e-05,0.004901,0.000622,1
0.0053607,0.0022807,0.098704,0.00122,1
0.25192,0.048123,5.199,0.001363,1
7.5559e-06,9.1894e-07,9.8803e-05,0.000874,1
1.2988e-05,1.8098e-06,0.00015532,0.000937,3
6.051e-06,5.4517e-07,7.6053e-05,0.000679,1
9.5883e-07,5.2198e-07,1.7014e-05,0.00071,2
0.0066472,0.012669,0.45671,0.001352,1
7.7532e-06,1.05e-06,7.602e-05,0.000941,1
2.0677e-05,1.7317e-05,0.0007586,0.001131,2
8.2105e-05,5.6542e-05,0.0014837,0.001142,2
0.0041097,0.0098675,0.23931,0.001172,2
4.8541e-06,1.2046e-06,7.7782e-05,0.000952,1
1.07e-05,2.939e-06,0.00016597,0.000755,1
0.0051284,0.0016704,0.11438,0.001146,1
7.7659e-05,8.0232e-06,0.0012806,0.000718,1
4.3226e-05,1.9334e-06,0.0010467,0.000673,1
1.6654e-05,7.6352e-06,0.00019051,0.000968,1
1.1208e-05,1.7147e-06,0.00015373,0.000658,1
3.6902e-06,2.2537e-06,5.8276e-05,0.000884,2
2.2624e-06,2.7267e-07,9.5663e-05,0.000928,1
0.00035624,0.00030772,0.008853,0.000714,1
5.2693e-06,7.3542e-07,0.00011006,0.000933,1
0.00034278,4.3228e-05,0.0069827,0.000655,1
7.3968e-05,2.166e-05,0.00090165,0.000884,1
1.0873e-05,4.5344e-06,0.00015551,0.000907,1
2.5309e-05,1.3696e-05,0.00060295,0.000943,1
0.000224,0.00058497,0.015007,0.001132,2
0.0046484,0.00086721,0.08734,0.001164,1
5.1594e-07,4.2688e-07,1.2566e-05,0.000659,1
0.00045982,0.00039364,0.012252,0.000873,1
7.7181e-06,1.1302e-06,0.00010812,0.000671,1
7.3049e-06,5.046e-07,0.00022767,0.000696,1
5.0859e-07,9.8475e-07,2.2926e-05,0.000713,1
9.2575e-06,5.2029e-06,0.00029243,0.001216,1
0.093143,0.0063912,1.6347,0.000651,1
0.00051431,0.0010287,0.027621,0.001203,1
2.0073e-05,2.9741e-05,0.0011745,0.000936,2
2.6322e-05,3.0737e-06,0.00027761,0.001223,1
4.5378e-06,1.8744e-06,8.0287e-05,0.000706,1
1.9688e-05,3.0792e-06,0.00015992,0.000928,1
0.0041879,0.0024895,0.063511,0.0009,1
1.8648e-05,3.9653e-06,0.00018874,0.001123,1
5.4406e-06,2.8466e-06,6.4593e-05,0.000984,1
1.0682e-05,1.7787e-06,7.7836e-05,0.001149,1
4.6513e-06,9.0954e-07,0.00026289,0.000662,1
0.0012961,0.00087233,0.033496,0.000956,1
8.8595e-06,7.0162e-06,0.00011733,0.000901,1
0.00041057,2.3324e-05,0.0063542,0.000646,1
7.9948e-06,2.8044e-05,0.00043385,0.000684,1
6.8114e-05,1.2028e-05,0.00080317,0.000943,1
9.9104e-06,1.2083e-06,9.482e-05,0.000673,1
0.0025576,0.00074205,0.028804,0.000927,1
3.3601e-05,7.113e-06,0.00045644,0.000898,1
5.4319e-05,4.2685e-06,0.00064413,0.000711,1
1.2751e-06,5.356e-07,1.6297e-05,0.000631,1
6.5799e-05,0.00022302,0.0051262,0.00067,1
7.6825e-05,1.2601e-05,0.0008155,0.000903,1
9.3074e-06,6.7011e-06,0.00027796,0.000945,2
1.0417e-05,4.3055e-06,0.00012626,0.00067,1
2.5591e-07,9.1386e-07,3.1625e-05,0.000973,1
1.3097e-06,1.1997e-06,4.56e-05,0.001131,1
4.9138e-06,1.1864e-06,4.891e-05,0.00074,1
2.733e-06,8.6067e-07,4.5026e-05,0.001131,1
0.00021496,6.9655e-05,0.0024827,0.000959,1
4.7294e-05,3.7096e-06,0.00052027,0.000904,1
2.5829e-07,5.5019e-07,2.5503e-05,0.001045,1
7.9256e-05,7.0131e-06,0.0013282,0.00066,1
3.4836e-06,5.8472e-07,4.4035e-05,0.000692,1
5.0283e-06,7.0432e-07,5.2871e-05,0.000967,1
0.026492,0.0081877,0.47707,0.000894,1
0.00053715,0.0004622,0.019103,0.000697,1
2.1785e-05,1.5546e-06,0.0002032,0.000778,1
1.2606e-06,1.8585e-06,2.2711e-05,0.000672,1
3.9438e-05,6.7822e-05,0.00095784,0.000897,1
0.00017254,0.00011024,0.0055269,0.000655,1
3.9223e-06,2.3975e-06,3.9368e-05,0.000694,1
3.2326e-06,6.6727e-06,0.0001545,0.000729,2
3.1231e-05,1.565e-05,0.000498,0.000636,1
8.7049e-06,2.0571e-06,8.8982e-05,0.000873,1
2.1481e-05,5.4933e-06,0.0001935,0.000667,1
4.9473e-05,3.0335e-05,0.00087833,0.001267,1
5.2746e-07,5.1354e-07,1.6406e-05,0.0007,1
1.2837e-05,1.3084e-05,0.00038202,0.000675,1
3.1485e-05,1.5712e-05,0.00063808,0.000704,1
1.2108e-05,9.9699e-05,0.0032381,0.00121,1
3.7828e-06,2.465e-05,0.00033746,0.000716,1
2.6743e-05,2.487e-06,0.00034148,0.000663,2
1.4544e-05,6.3876e-06,0.00034125,0.000685,1
8.945e-06,2.5957e-06,0.000117,0.000653,1
0.00020087,9.486e-05,0.0053385,0.000703,1
1.5942e-06,1.4645e-06,0.0002645,0.000706,1
0.00080799,5.8258e-05,0.010566,0.000667,1
0.00011441,4.312e-05,0.0015343,0.000898,1
3.0451e-05,1.8927e-06,0.00022705,0.00096,1
7.4282e-06,2.5957e-06,0.0001396,0.001145,1
9.7534e-06,2.4117e-06,0.00015219,0.000948,1
5.5673e-06,1.3203e-05,0.0008207,0.000905,1
0.013025,0.0012881,0.16823,0.001203,1
0.00025404,0.00054149,0.010233,0.000911,1
1.2381e-05,0.00067113,0.023357,0.001144,1
2.9651e-07,7.524e-07,3.1515e-05,0.000672,1
5.0543e-05,3.4211e-06,0.00073463,0.000695,1
8.867e-06,1.0733e-06,7.2161e-05,0.001203,1
0.00047212,0.00031716,0.013666,0.001151,1
7.8779e-05,6.1253e-06,0.0019331,0.000913,1
5.2773e-05,1.8605e-06,0.00061208,0.001195,1
3.9268e-05,3.9926e-06,0.00061082,0.000691,2
0.00085104,8.767e-05,0.0079165,0.000725,1
5.2188e-07,1.5964e-06,4.4978e-05,0.000907,1
7.8691e-05,7.3802e-06,0.00058356,0.000646,1
3.6763e-06,3.6859e-06,0.00012401,0.000941,1
0.00013381,4.1471e-05,0.0019482,0.000879,1
0.0018739,0.00028218,0.017321,0.001118,2
0.1409,0.66668,22.722,0.000953,1
0.012989,0.0022655,0.16677,0.000901,1
5.0461e-07,3.0485e-06,5.8863e-05,0.000668,1
2.0435e-05,2.0879e-05,0.00054864,0.000707,1
8.397e-06,2.3885e-06,9.9532e-05,0.000931,1
0.00043444,0.00012614,0.012009,0.000982,1
7.3034e-07,1.1601e-06,2.9531e-05,0.000648,1
7.8754e-06,1.209e-06,8.8843e-05,0.000639,1
1.9082e-06,2.7361e-06,0.0001139,0.000696,1
3.5183e-05,3.5478e-06,0.00033002,0.000723,1
1.4158e-05,2.1991e-06,0.0001447,0.000675,1
2.0631e-05,1.1003e-05,0.00036076,0.000964,2
3.7657e-06,3.4837e-06,6.5148e-05,0.000656,1
4.1085e-05,0.00030542,0.0072583,0.001143,1
0.00015793,4.418e-05,0.0019804,0.00095,1
6.9036e-05,6.6244e-05,0.0032444,0.000902,1
0.00015246,1.5283e-05,0.0021613,0.000676,2
6.4559e-07,1.7857e-06,6.5136e-05,0.000708,1
1.861e-05,4.1759e-06,0.00033878,0.000744,1
8.0657e-06,9.1246e-07,7.0494e-05,0.00065,2
7.0392e-05,1.2939e-05,0.0014802,0.0009,1
0.00019077,8.3578e-05,0.0026358,0.000903,1
2.7073e-06,6.5613e-07,2.3109e-05,0.000712,1
1.1779e-06,2.1104e-06,4.1028e-05,0.00067,1
0.00026,0.00018522,0.010806,0.000648,1
0.00013151,9.5165e-05,0.0017552,0.000878,2
0.00017294,0.0016988,0.056361,0.000722,1
1.6741e-05,8.3322e-06,0.00032195,0.000673,2
8.7321e-05,5.3178e-06,0.0012649,0.000702,1
9.6079e-06,5.4668e-07,0.00010618,0.001021,2
9.4143e-06,6.6589e-06,0.00025543,0.000657,1
0.013805,0.0047765,0.34003,0.000906,1
0.015414,0.006626,0.27437,0.000929,2
2.7033e-05,2.0584e-06,0.00031713,0.000719,1
0.00077587,4.8099e-05,0.0088242,0.000698,1
