dF,dR,dC,dt,N
6.4766e-05,3.2254e-06,0.0005928,0.000166,1
3.9233e-06,1.5737e-06,7.7332e-05,0.000168,1
4.097e-06,2.352e-06,0.00017494,0.000143,1
8.1469e-06,4.9745e-07,5.0549e-05,0.000147,1
4.8253e-06,3.047e-07,8.4747e-05,0.000147,1
1.494e-05,1.3513e-06,0.00031683,0.000147,1
2.7716e-06,5.9474e-07,4.4841e-05,0.000151,1
1.5532e-05,1.7165e-06,0.00016678,0.000152,1
0.00011593,2.8501e-06,0.00091775,0.000148,1
0.00011216,3.241e-06,0.0019339,0.000151,1
4.1362e-06,4.1886e-07,2.8803e-05,0.000173,1
0.00066887,4.6593e-05,0.0058652,0.000156,1
6.0393e-05,2.3914e-06,0.0008325,0.000142,1
2.8576e-05,2.7713e-06,0.00028847,0.000698,1
5.0187e-05,6.7296e-07,0.00070225,0.000165,1
2.7049e-06,1.5725e-06,9.1727e-05,0.000156,1
3.1394e-05,2.236e-07,0.00034624,0.000144,1
1.7084e-05,1.7235e-06,6.6813e-05,0.000145,1
1.774e-06,1.6612e-07,1.9539e-05,0.000145,1
7.5625e-06,1.2144e-06,9.6461e-05,0.000154,1
7.1239e-06,7.757e-07,0.00019611,0.000137,1
2.2328e-05,4.5668e-06,0.00023005,0.000779,1
6.4804e-06,2.133e-07,7.0193e-05,0.000233,1
4.3692e-06,2.1143e-07,6.5297e-05,0.000161,1
5.0552e-06,3.7041e-07,5.3084e-05,0.00015,1
1.2791e-05,3.5457e-07,0.00026348,0.000161,1
1.1809e-06,5.8622e-07,4.9959e-05,0.000151,1
6.7839e-07,2.9821e-07,3.1616e-05,0.000164,1
1.1045e-05,3.6902e-06,0.00016103,0.00015,1
9.6273e-06,8.9907e-07,0.00012202,0.000139,1
0.0002502,1.5778e-05,0.010281,0.000151,1
2.7811e-05,7.2604e-07,0.00049889,0.000156,1
2.983e-05,1.6217e-06,0.00032182,0.000159,1
7.2643e-06,1.9842e-06,0.00011923,0.000147,1
2.1825e-05,1.4582e-06,0.00027624,0.000195,1
8.2534e-06,1.5341e-06,7.3307e-05,0.000174,1
0.00012604,3.968e-07,0.0024313,0.000169,1
0.0003211,1.0071e-05,0.0030599,0.000201,1
2.9386e-05,8.3973e-07,0.00023596,0.000155,1
1.2386e-05,2.6345e-06,0.00016295,0.000145,1
1.6309e-05,5.7301e-07,0.00014182,0.000176,1
6.456e-07,2.0963e-07,1.2079e-05,0.000166,1
4.3337e-05,1.2354e-06,0.00048991,0.000175,1
0.00056127,9.919e-06,0.01645,0.00017,1
7.9733e-06,2.2132e-07,0.00016873,0.000164,1
6.3175e-08,5.7724e-07,2.5844e-05,0.000155,1
2.1979e-06,1.9666e-07,3.053e-05,0.000152,1
